site_name,status,address_line_1,address_line_2,city,county,postcode,country,property_type,total_units,total_floors,total_sqft,year_built,epc_rating,listed_building_grade,whatsapp_intake_number,subscription_tier,monthly_fee,contract_start_date,contract_end_date,landlord_name,opening_hours,asbestos_register
"Meridian House",ACTIVE,"14-16 Fleet Street","","London","Greater London","EC4A 2AB","United Kingdom",OFFICE,12,5,18500,1987,C,NONE,"+447700900001",PROFESSIONAL,450.00,01/03/2025,28/02/2026,"Pinnacle Property Holdings Ltd","Mon-Fri 07:30-19:00",TRUE
"The Chambers",ACTIVE,"45 King Street","","Manchester","Greater Manchester","M2 4AH","United Kingdom",MIXED_USE,24,6,32000,1902,D,GRADE_II,"+447700900002",ENTERPRISE,750.00,01/01/2025,31/12/2025,"Northern Estates Group Plc","Mon-Fri 08:00-18:00, Sat 09:00-13:00",TRUE
"Victoria Gate Residences",ACTIVE,"88 Victoria Road","","Birmingham","West Midlands","B1 1BB","United Kingdom",RESIDENTIAL,48,8,42000,2019,B,NONE,"+447700900003",ENTERPRISE,850.00,15/06/2024,14/06/2025,"Midland Living Investments","24/7 concierge",FALSE
"Harbour Point",ACTIVE,"Unit 3, Harbour Way","Maritime Quarter","Swansea","West Glamorgan","SA1 1UB","United Kingdom",RETAIL,6,2,8200,2005,C,NONE,"+447700900004",ESSENTIAL,250.00,01/04/2025,31/03/2026,"Welsh Commercial Properties Ltd","Mon-Sat 08:00-20:00",FALSE
"Caledonia Works",ACTIVE,"120 Broomielaw","","Glasgow","City of Glasgow","G1 4HP","United Kingdom",INDUSTRIAL,8,3,25000,1975,E,NONE,"+447700900005",PROFESSIONAL,400.00,01/09/2024,31/08/2025,"Scotia Industrial Trust","Mon-Fri 06:00-22:00, Sat 07:00-16:00",TRUE
"St James Court",ONBOARDING,"22 St James Boulevard","","Newcastle upon Tyne","Tyne and Wear","NE1 4HP","United Kingdom",OFFICE,16,4,14000,2012,B,NONE,"+447700900006",PROFESSIONAL,450.00,01/07/2025,30/06/2026,"Tyne Bridge Capital Partners","Mon-Fri 08:00-18:00",FALSE
"The Old Mill",ACTIVE,"Mill Lane","Castlefield","Leeds","West Yorkshire","LS1 5DL","United Kingdom",MIXED_USE,20,4,16500,1850,GRADE_II_STAR,"+447700900007",ENTERPRISE,700.00,01/02/2025,31/01/2026,"Heritage Properties Yorkshire Ltd","Mon-Fri 07:00-21:00",TRUE
"Eastgate Retail Park",ACTIVE,"Eastgate","","Bristol","Avon","BS1 3BN","United Kingdom",RETAIL,10,1,35000,2008,C,NONE,"+447700900008",PROFESSIONAL,500.00,01/05/2025,30/04/2026,"West Country Retail Investments","Mon-Sun 06:00-23:00",FALSE
"Regency Terrace",ACTIVE,"15-19 Royal Crescent","","Bath","Somerset","BA1 2LR","United Kingdom",RESIDENTIAL,12,3,9800,1780,GRADE_I,"+447700900009",ENTERPRISE,900.00,01/01/2025,31/12/2025,"Bath Heritage Living Trust","24/7 key holder access",TRUE
"Docklands Business Hub",SUSPENDED,"Canary Wharf","One Canada Square","London","Greater London","E14 5AB","United Kingdom",OFFICE,30,10,55000,1991,B,NONE,"+447700900010",ENTERPRISE,1200.00,01/01/2024,31/12/2024,"Docklands Commercial Ltd","Mon-Fri 07:00-20:00",FALSE
