question_code,question_text_en,question_text_es,question_text_pl,whatsapp_format,maps_to_field,category_relevance,required_for_states,ask_order,is_required,validation_type,max_retries,fallback_action,is_active
Q_LOCATION,"Where exactly in the building is the problem? Please include the floor, room number, and specific area (e.g. kitchen, bathroom).","¿Dónde exactamente en el edificio está el problema? Por favor incluya el piso, número de habitación y área específica.","Gdzie dokładnie w budynku jest problem? Proszę podać piętro, numer pokoju i konkretne miejsce.",TEXT,location_in_building,"ALL",INTAKE,1,TRUE,FREE_TEXT,2,ESCALATE_TO_HUMAN,TRUE
Q_PHOTO,"Can you send us a photo of the problem? This helps us assess it faster.","¿Puede enviarnos una foto del problema? Esto nos ayuda a evaluarlo más rápido.","Czy może nam Pan/Pani wysłać zdjęcie problemu? To pomoże nam szybciej go ocenić.",TEXT,evidence_photos,"ALL",CLARIFICATION,2,FALSE,PHOTO_REQUIRED,1,SKIP,TRUE
Q_URGENCY,"How urgent is this? Is anyone at risk or is the property being damaged right now?","¿Qué tan urgente es esto? ¿Hay alguien en riesgo o se está dañando la propiedad ahora mismo?","Jak pilna jest ta sprawa? Czy ktoś jest zagrożony lub czy nieruchomość jest teraz uszkadzana?",INTERACTIVE_BUTTONS,priority,"ALL",INTAKE,3,TRUE,SINGLE_CHOICE,2,ESCALATE_TO_HUMAN,TRUE
Q_ACCESS,"Can you confirm the best times for an engineer to access the property?","¿Puede confirmar los mejores horarios para que un ingeniero acceda a la propiedad?","Czy może Pan/Pani potwierdzić najlepsze godziny dostępu dla inżyniera?",TEXT,notes_internal,"ALL",ASSESSMENT,4,FALSE,FREE_TEXT,1,USE_DEFAULT,TRUE
Q_LEAK_SOURCE,"Can you see where the water is coming from? Is it from a tap, pipe, ceiling, or radiator?","¿Puede ver de dónde viene el agua? ¿Es de un grifo, tubería, techo o radiador?","Czy widzi Pan/Pani skąd pochodzi woda? Czy z kranu, rury, sufitu czy kaloryfera?",INTERACTIVE_LIST,llm_extracted_summary,"PLUMBING",CLARIFICATION,2,TRUE,SINGLE_CHOICE,2,ESCALATE_TO_HUMAN,TRUE
Q_ELECTRICAL_AFFECTED,"Which areas are affected? Is it just one room or multiple areas?","¿Qué áreas están afectadas? ¿Es solo una habitación o varias áreas?","Które obszary są dotknięte? Czy to tylko jeden pokój czy wiele miejsc?",TEXT,location_in_building,"ELECTRICAL",CLARIFICATION,2,TRUE,FREE_TEXT,2,ESCALATE_TO_HUMAN,TRUE
Q_HEATING_TYPE,"What type of heating system do you have? (Gas boiler, electric, heat pump, district heating)","¿Qué tipo de sistema de calefacción tiene? (Caldera de gas, eléctrico, bomba de calor, calefacción urbana)","Jaki typ ogrzewania Pan/Pani posiada? (Kocioł gazowy, elektryczny, pompa ciepła, ciepło miejskie)",INTERACTIVE_LIST,llm_extracted_summary,"HVAC",CLARIFICATION,2,FALSE,SINGLE_CHOICE,1,SKIP,TRUE
Q_WINDOW_TYPE,"What type of window is it? (Sash, casement/side-hinged, tilt and turn, sliding)","¿Qué tipo de ventana es? (Guillotina, abatible, oscilobatiente, corredera)","Jaki to typ okna? (Skrzynkowe, rozwierane, uchylno-rozwierane, przesuwne)",INTERACTIVE_BUTTONS,llm_extracted_summary,"DOORS_WINDOWS",CLARIFICATION,2,FALSE,SINGLE_CHOICE,1,SKIP,TRUE
Q_PEST_TYPE,"What type of pest have you seen? (Mice/rats, cockroaches, ants, pigeons, wasps, other)","¿Qué tipo de plaga ha visto? (Ratones/ratas, cucarachas, hormigas, palomas, avispas, otro)","Jaki rodzaj szkodnika Pan/Pani widział? (Myszy/szczury, karaluchy, mrówki, gołębie, osy, inne)",INTERACTIVE_LIST,llm_extracted_summary,"PEST_CONTROL",CLARIFICATION,2,TRUE,SINGLE_CHOICE,2,ESCALATE_TO_HUMAN,TRUE
Q_CONFIRM_COMPLETE,"Has the work been completed to your satisfaction? Please reply Yes or No.","¿Se ha completado el trabajo a su satisfacción? Por favor responda Sí o No.","Czy praca została wykonana zadowalająco? Proszę odpowiedzieć Tak lub Nie.",INTERACTIVE_BUTTONS,tenant_satisfaction_rating,"ALL",VERIFICATION,1,TRUE,YES_NO,2,ESCALATE_TO_HUMAN,TRUE
