status,requested_at,submitted_at,decided_at,expiry_date,labour_cost,materials_cost,callout_charge,vat_rate,estimated_duration_hours,scope_of_work,exclusions,earliest_start_date,estimated_completion_date,warranty_period_months,rejection_reason,notes
ACCEPTED,2025-06-06T10:00:00Z,2025-06-06T14:30:00Z,2025-06-06T16:00:00Z,06/07/2025,1200.00,450.00,0.00,0.20,8.0,"Strip existing felt, install new 3-layer torch-on felt system to flat roof section above flat 12. Include new lead flashings to parapet wall.","Does not include internal ceiling repair or decoration","09/06/2025","10/06/2025",12,"","Competitive price, good track record with roofing"
REJECTED,2025-06-06T10:00:00Z,2025-06-07T09:00:00Z,2025-06-07T11:00:00Z,06/07/2025,2100.00,800.00,150.00,0.20,16.0,"Full roof survey and repair including replacement of all flashings and felt to flat roof above flat 12.","Scaffolding costs not included, to be quoted separately","12/06/2025","14/06/2025",24,"Significantly over budget. Scope exceeds what is required for this repair.",""
SUBMITTED,2025-06-08T11:30:00Z,2025-06-09T08:00:00Z,,08/07/2025,380.00,120.00,85.00,0.20,4.0,"High-pressure jet wash of blocked surface water drain. CCTV survey of drain run to identify cause of blockage. Clear any root ingress.","Excavation works if drain is collapsed","10/06/2025","10/06/2025",3,"",""
SUBMITTED,2025-06-08T11:30:00Z,2025-06-09T16:00:00Z,,08/07/2025,280.00,60.00,0.00,0.20,3.0,"Clear blocked drain using rodding and jetting equipment. Flush system and test flow.","CCTV survey not included","09/06/2025","09/06/2025",1,"","Cheaper but less comprehensive than Aquaflow quote"
ACCEPTED,2025-06-09T16:30:00Z,2025-06-10T07:00:00Z,2025-06-10T07:30:00Z,09/07/2025,1800.00,650.00,200.00,0.20,12.0,"Emergency boiler repair - diagnose E119 fault code on Vaillant ecoTEC Plus 838. Replace faulty PCB and pressure sensor. Full system test and commission.","Does not cover any radiator or pipework repairs","10/06/2025","10/06/2025",6,"","Emergency callout - nursery wing, prioritised"
REQUESTED,2025-06-09T16:30:00Z,,,,0.00,0.00,0.00,0.20,0.0,"","","","",0,"","RFQ sent, awaiting response"
EXPIRED,2025-05-01T09:00:00Z,2025-05-01T15:00:00Z,,01/06/2025,450.00,180.00,0.00,0.20,6.0,"Supply and fit new overhead door closer to fire door. Adjust frame and hinges. Fit intumescent strips and smoke seals.","Replacement of door leaf if required","05/05/2025","05/05/2025",12,"","Quote expired, work not authorised in time"
PENDING,2025-06-09T16:00:00Z,2025-06-10T10:00:00Z,,09/07/2025,520.00,210.00,0.00,0.20,5.0,"Supply and install new Briton 2003V overhead door closer to fire door at stairwell B. Adjust ironmongery, fit new intumescent strips and cold smoke seals. Issue fire door certificate on completion.","Does not include door leaf replacement","12/06/2025","12/06/2025",12,"","Includes fire door compliance certificate"
WITHDRAWN,2025-06-01T08:00:00Z,2025-06-01T12:00:00Z,,01/07/2025,900.00,300.00,0.00,0.20,8.0,"Pest control treatment for mice - 3-visit programme with bait stations and proofing.","Ongoing maintenance contract not included","03/06/2025","17/06/2025",0,"","Contractor withdrew - overcommitted"
ACCEPTED,2025-06-01T08:00:00Z,2025-06-01T10:00:00Z,2025-06-01T11:00:00Z,01/07/2025,680.00,220.00,0.00,0.20,6.0,"3-visit pest treatment programme: initial survey and bait station placement, follow-up inspection at 7 days, final inspection and proofing at 14 days. Includes sealing entry points in bin store.","Does not include deep clean of bin store","02/06/2025","16/06/2025",3,"","Good value, includes proofing work"
