occurred_at,severity,scenario_name,module_name,error_message,error_code,resolution_status,resolved_at,resolution_notes,is_recurring,recurrence_count
2025-06-10T06:25:00Z,CRITICAL,WHATSAPP_SEND,n8n.whatsapp_template_send,"Template 'emergency_acknowledged' rejected: template not approved for language 'en_GB'. Use 'en' instead.",WHATSAPP_131049,RESOLVED,2025-06-10T06:35:00Z,"Updated template language code from en_GB to en in n8n workflow config",FALSE,1
2025-06-09T14:31:00Z,LOW,MEDIA_DOWNLOAD,n8n.media_downloader,"Timeout downloading media from 360dialog CDN. URL: https://cdn.360dialog.io/media/xxx. Retried 3 times.",TIMEOUT_60S,RESOLVED,2025-06-09T14:35:00Z,"Auto-resolved on 4th retry. CDN intermittent issue.",TRUE,3
2025-06-08T11:05:00Z,MEDIUM,LLM_PROCESSING,n8n.openai_categorise,"LLM returned category 'DRAINAGE' which is not a valid option. Expected one of: PLUMBING, ELECTRICAL, HVAC...",LLM_INVALID_CATEGORY,RESOLVED,2025-06-08T11:10:00Z,"Mapped DRAINAGE to PLUMBING in post-processing. Added DRAINAGE as alias in category mapping config.",FALSE,1
2025-06-07T22:00:00Z,HIGH,XERO_SYNC,n8n.xero_create_invoice,"Xero API rate limit exceeded. 429 Too Many Requests. Retry-After: 60 seconds.",XERO_RATE_LIMIT,RESOLVED,2025-06-07T22:02:00Z,"Auto-retried after 60s backoff. Added exponential backoff to Xero integration.",TRUE,5
2025-06-06T09:00:00Z,MEDIUM,STATE_TRANSITION,n8n.state_machine,"Invalid state transition: INTAKE -> IN_PROGRESS_EXTERNAL. Must go through ASSESSMENT first.",INVALID_TRANSITION,RESOLVED,2025-06-06T09:15:00Z,"Manual override by admin. Work item was incorrectly fast-tracked. Added validation gate.",FALSE,1
2025-06-05T17:30:00Z,HIGH,WHATSAPP_RECEIVE,n8n.webhook_intake,"Webhook payload missing 'messages' array. Received status update instead of message. Payload type: 'statuses'.",MISSING_MESSAGES,RESOLVED,2025-06-05T17:45:00Z,"Added filter node to separate message webhooks from status webhooks.",TRUE,12
2025-06-04T08:00:00Z,LOW,AIRTABLE_WRITE,n8n.airtable_update,"Airtable rate limit: 5 requests/sec exceeded. HTTP 429.",AIRTABLE_RATE_LIMIT,RESOLVED,2025-06-04T08:01:00Z,"Auto-retried with 1s backoff. Consider batch operations for bulk updates.",TRUE,8
2025-06-03T14:22:00Z,CRITICAL,PAYMENT_SYNC,n8n.xero_payment_match,"Payment amount mismatch: Xero shows £1,296.00 paid but SafeFlow expected £1,080.00. Difference: £216.00 (likely VAT not included in match).",PAYMENT_MISMATCH,RESOLVED,2025-06-03T15:00:00Z,"Bug in payment matching: was comparing net to gross. Fixed to compare gross amounts.",FALSE,1
2025-06-02T11:11:00Z,MEDIUM,RFQ_SEND,n8n.rfq_whatsapp,"Failed to send RFQ to contractor +447700200010 (AllTrades). Account suspended.",WHATSAPP_131026,OPEN,,,FALSE,1
2025-06-01T09:30:00Z,LOW,SCHEDULED_TASK,n8n.sla_checker,"SLA check cron job completed with warnings: 2 work items could not be evaluated (missing sla_target_hours).",SLA_MISSING_DATA,RESOLVED,2025-06-01T10:00:00Z,"Backfilled missing sla_target_hours based on priority. Added validation on work item creation.",FALSE,1
