discipline,trigger_condition,question_text_en,question_text_cy,question_text_pl,expected_data_field,is_active,priority_order
PLUMBING,location_unknown,"Which building and floor is the plumbing issue on?","Ym mha adeilad a llawr mae'r broblem plymio?","W którym budynku i na którym piętrze jest problem z hydrauliką?",location,true,1
PLUMBING,severity_unclear,"Is water actively leaking right now? How much water can you see?","A yw dŵr yn gollwng ar hyn o bryd? Faint o ddŵr allwch chi weld?","Czy woda aktualnie wycieka? Ile wody widzisz?",urgency,true,2
PLUMBING,type_unclear,"What type of plumbing fixture is affected? (tap, toilet, pipe, radiator, drain)","Pa fath o ffitiad plymio sydd wedi'i effeithio?","Jaki element hydrauliczny jest uszkodzony? (kran, toaleta, rura, kaloryfer, odpływ)",description,true,3
ELECTRICAL,location_unknown,"Which building and floor is the electrical issue on?","Ym mha adeilad a llawr mae'r broblem drydanol?","W którym budynku i na którym piętrze jest problem z elektrycznością?",location,true,1
ELECTRICAL,severity_unclear,"Is there any burning smell, smoke, or sparking? Are lights flickering or completely off?","A oes unrhyw arogl llosgi, mwg, neu wreichion?","Czy jest zapach spalenizny, dym lub iskrzenie? Czy światła migoczą czy są całkowicie wyłączone?",urgency,true,2
GAS_SAFE,always,"Can you smell gas? If yes, please open windows, leave the area, and call the National Gas Emergency line on 0800 111 999 immediately.","A allwch chi arogli nwy? Os felly, agorwch ffenestri a gadael yr ardal.","Czy czujesz zapach gazu? Jeśli tak, otwórz okna, opuść miejsce i zadzwoń na numer alarmowy 0800 111 999.",safety_confirmation,true,1
GAS_SAFE,type_unclear,"Is this about a gas boiler, gas hob/cooker, gas fire, or gas meter?","A yw hyn am foeler nwy, hob nwy, tân nwy, neu fesurydd nwy?","Czy dotyczy to kotła gazowego, kuchenki gazowej, kominka gazowego czy licznika gazu?",description,true,2
HVAC,type_unclear,"Is this about air conditioning, heating, ventilation, or a heat pump?","A yw hyn am aerdymheru, gwresogi, awyru, neu bwmp gwres?","Czy chodzi o klimatyzację, ogrzewanie, wentylację czy pompę ciepła?",description,true,1
HVAC,severity_unclear,"Is the area too hot, too cold, or is there no airflow at all? What temperature is it approximately?","A yw'r ardal yn rhy boeth, yn rhy oer, neu a oes dim llif aer o gwbl?","Czy w pomieszczeniu jest za gorąco, za zimno, czy brak przepływu powietrza?",urgency,true,2
LIFT_ENGINEER,people_trapped,"Are people currently trapped in the lift? If yes, reassure them and we will dispatch an engineer immediately. Which lift number/location is it?","A oes pobl wedi'u dal yn y lifft ar hyn o bryd?","Czy ludzie są uwięzieni w windzie? Jeśli tak, uspokój ich - natychmiast wyślemy inżyniera.",safety_confirmation,true,1
FIRE_SAFETY,type_unclear,"Is this about a fire alarm, fire door, sprinkler system, fire extinguisher, or emergency exit?","A yw hyn am larwm tân, drws tân, system taenellwr, diffoddwr tân, neu allanfa argyfwng?","Czy dotyczy to alarmu pożarowego, drzwi przeciwpożarowych, systemu tryskaczowego, gaśnicy czy wyjścia ewakuacyjnego?",description,true,1
GENERAL_MAINTENANCE,vague_description,"Could you describe the issue in more detail? What can you see or hear that isn't right?","A allwch chi ddisgrifio'r broblem yn fwy manwl?","Czy możesz opisać problem bardziej szczegółowo? Co widzisz lub słyszysz?",description,true,1
GENERAL_MAINTENANCE,location_unknown,"Where exactly in the building is this issue? Please include the building name, floor, and area (e.g., reception, kitchen, WC).","Ble yn union yn yr adeilad mae'r broblem hon?","Gdzie dokładnie w budynku jest ten problem? Podaj nazwę budynku, piętro i miejsce.",location,true,2
SPECIALIST,asbestos_suspected,"IMPORTANT: Do not disturb any materials you suspect may contain asbestos. Keep the area clear. Can you describe what you've seen and where?","PWYSIG: Peidiwch ag aflonyddu ar unrhyw ddeunyddiau rydych chi'n amau y gallai gynnwys asbestos.","WAŻNE: Nie dotykaj materiałów, które mogą zawierać azbest. Opuść okolicę. Opisz co widzisz i gdzie.",safety_confirmation,true,1
SPECIALIST,structural,"Is the damage getting worse? Are there any cracks widening, walls bulging, or doors/windows that no longer close properly?","A yw'r difrod yn gwaethygu?","Czy uszkodzenie się pogarsza? Czy pęknięcia się powiększają, ściany wybrzuszają lub drzwi/okna nie domykają się?",urgency,true,1
