title,description,category,priority,current_state,state_started_at,previous_state,sla_target_hours,created_at,location_in_building,floor,area_type,assignment_type,source_channel,is_recurring,tags
"Leaking tap in ground floor kitchen","Tenant reports persistent drip from kitchen cold tap. Water pooling on worktop. Started yesterday morning.",PLUMBING,P3_STANDARD,ASSIGNED_INTERNAL,2025-06-10T09:15:00Z,ASSESSMENT,120,2025-06-09T14:30:00Z,"Flat 4, kitchen","Ground",TENANT_UNIT,INTERNAL,WHATSAPP,FALSE,""
"Emergency - no heating in nursery wing","Complete heating failure in nursery wing affecting 40+ children. Radiators stone cold, boiler showing E119 fault code.",HVAC,P1_EMERGENCY,IN_PROGRESS_EXTERNAL,2025-06-10T07:00:00Z,QUOTE_ACCEPTED,4,2025-06-10T06:22:00Z,"Nursery wing, all rooms","1st",TENANT_UNIT,EXTERNAL,WHATSAPP,FALSE,"HEALTH_AND_SAFETY,EMERGENCY_CALLOUT"
"Flickering lights in reception","Multiple fluorescent tubes flickering in main reception area. Creating headaches for front desk staff.",ELECTRICAL,P3_STANDARD,ASSESSMENT,2025-06-11T08:00:00Z,INTAKE,120,2025-06-11T07:45:00Z,"Main reception","Ground",RECEPTION,UNASSIGNED,WHATSAPP,FALSE,""
"Fire door not closing on 3rd floor","Fire door near stairwell B on 3rd floor not closing properly. Door closer mechanism appears broken. Significant fire safety concern.",FIRE_SAFETY,P2_URGENT,RFQ_SENT,2025-06-09T16:00:00Z,ASSESSMENT,24,2025-06-09T15:10:00Z,"Stairwell B entrance","3rd",STAIRWELL,EXTERNAL,WHATSAPP,FALSE,"HEALTH_AND_SAFETY"
"Blocked drain in car park","Surface water drain in underground car park backing up. Water pooling near spaces 14-18. Slip hazard.",PLUMBING,P2_URGENT,QUOTES_RECEIVED,2025-06-08T11:00:00Z,RFQ_SENT,24,2025-06-08T08:30:00Z,"Underground car park, near spaces 14-18","Basement",CAR_PARK,EXTERNAL,PHONE,FALSE,""
"Roof leak above flat 12","Water ingress through ceiling in flat 12 bedroom during heavy rain. Brown stain spreading on ceiling.",ROOFING,P2_URGENT,IN_PROGRESS_EXTERNAL,2025-06-07T14:00:00Z,QUOTE_ACCEPTED,24,2025-06-06T22:15:00Z,"Flat 12, bedroom","4th",TENANT_UNIT,EXTERNAL,WHATSAPP,TRUE,"REPEAT_ISSUE,INSURANCE_CLAIM"
"Lift stuck between floors","Passenger lift stuck between ground and 1st floor. No passengers trapped currently but lift out of service.",LIFTS,P1_EMERGENCY,VERIFICATION,2025-06-05T16:00:00Z,IN_PROGRESS_EXTERNAL,4,2025-06-05T09:00:00Z,"Main passenger lift","Ground",LIFT_SHAFT,EXTERNAL,WHATSAPP,FALSE,"HEALTH_AND_SAFETY"
"Pest control - mice in bin store","Mice droppings found in communal bin store. Multiple tenants have reported sightings over the past week.",PEST_CONTROL,P3_STANDARD,CLOSED,2025-06-01T10:00:00Z,VERIFICATION,120,2025-05-28T10:00:00Z,"Communal bin store","Ground",COMMON_AREA,EXTERNAL,EMAIL,FALSE,""
"Broken window latch flat 7","Window latch in flat 7 living room broken. Window cannot be secured shut. Ground floor - security concern.",DOORS_WINDOWS,P2_URGENT,CLARIFICATION,2025-06-11T09:00:00Z,INTAKE,24,2025-06-11T08:50:00Z,"Flat 7, living room","Ground",TENANT_UNIT,UNASSIGNED,WHATSAPP,FALSE,""
"Annual PAT testing - all units","Scheduled portable appliance testing across all 24 units. Landlord obligation under Electrical Safety Standards.",ELECTRICAL,P4_PLANNED,INTAKE,2025-06-11T10:00:00Z,,480,2025-06-11T10:00:00Z,"All units, all floors","All",TENANT_UNIT,UNASSIGNED,MANUAL,TRUE,"LANDLORD_APPROVAL_NEEDED"
