invoice_type,contractor_invoice_number,contractor_invoice_date,net_amount,vat_amount,retention_amount,status,due_date,paid_date,paid_amount,xero_invoice_id,xero_invoice_number,xero_status,xero_account_code,currency,notes
CONTRACTOR_INVOICE,"AF-2025-0891",06/06/2025,1080.00,216.00,0.00,PAID,06/07/2025,28/06/2025,1296.00,"a1b2c3d4-e5f6-7890-abcd-ef1234567890","INV-001234",PAID,"5010",GBP,"Pest control - Urban Pest - bin store treatment"
CONTRACTOR_INVOICE,"INV-4521",10/06/2025,1650.00,330.00,0.00,AWAITING_APPROVAL,10/07/2025,,0.00,"","","","5010",GBP,"Roof repair flat 12 - Prestige Roofing"
CONTRACTOR_INVOICE,"CA-INV-0093",11/06/2025,2650.00,530.00,0.00,DRAFT,11/07/2025,,0.00,"","","","5010",GBP,"Emergency boiler repair nursery wing - CoolAir"
CONTRACTOR_INVOICE,"OTIS-UK-78432",05/06/2025,3200.00,640.00,0.00,SUBMITTED_TO_XERO,05/07/2025,,0.00,"b2c3d4e5-f6a7-8901-bcde-f12345678901","INV-001235",AUTHORISED,"5020",GBP,"Lift repair - Otis - main passenger lift"
EMERGENCY_CALLOUT,"CA-CALL-0012",10/06/2025,200.00,40.00,0.00,APPROVED,24/06/2025,,0.00,"","","","5015",GBP,"Emergency callout charge - CoolAir - nursery heating"
CONTRACTOR_INVOICE,"SW-25-1087",15/05/2025,480.00,96.00,0.00,PAID,14/06/2025,10/06/2025,576.00,"c3d4e5f6-a7b8-9012-cdef-123456789012","INV-001230",PAID,"5010",GBP,"Electrical testing common areas - Spark & Wire"
RECHARGE_TO_TENANT,"RC-00045",01/06/2025,150.00,30.00,0.00,OVERDUE,15/06/2025,,0.00,"d4e5f6a7-b8c9-0123-defa-234567890123","INV-001231",AUTHORISED,"4010",GBP,"Recharge to tenant flat 4 - callout for blocked sink (tenant fault)"
INTERNAL_COST,"INT-0088",09/06/2025,85.00,0.00,0.00,APPROVED,30/06/2025,,0.00,"","","","5030",GBP,"Internal engineer materials - replacement tap washer + isolator valve"
CONTRACTOR_INVOICE,"UP-2025-0156",01/06/2025,900.00,180.00,0.00,PAID,01/07/2025,25/06/2025,1080.00,"e5f6a7b8-c9d0-1234-efab-345678901234","INV-001232",PAID,"5010",GBP,"Pest treatment programme - Urban Pest"
CONTRACTOR_INVOICE,"SD-QT-2025-034",12/06/2025,730.00,146.00,0.00,DRAFT,12/07/2025,,0.00,"","","","5010",GBP,"Fire door repair stairwell B - SecureDoor (pending quote acceptance)"
