company_name,trading_name,company_number,vat_number,status,primary_phone,whatsapp_phone,email,website,postcode,trade_disciplines,coverage_postcodes,max_travel_radius_miles,emergency_callout,emergency_callout_rate,certifications,gas_safe_number,niceic_number,public_liability_insured,public_liability_amount,public_liability_expiry,employers_liability_insured,employers_liability_expiry,payment_terms_days,day_rate,hourly_rate,onboarded_date
"Aquaflow Plumbing Ltd","Aquaflow","12345678","GB123456789",APPROVED,"+442071234001","+447700200001","info@aquaflow.co.uk","https://aquaflow.co.uk","SE1 7PB","PLUMBING,DRAINAGE,GAS","SE,SW,EC,WC,E,W,N,NW",15,TRUE,185.00,"GAS_SAFE,CHAS","543210","",TRUE,5000000,31/03/2026,TRUE,31/03/2026,30,380.00,55.00,15/01/2024
"Spark & Wire Electrical Services","Spark & Wire","23456789","GB234567890",APPROVED,"+441612345001","+447700200002","jobs@sparkwire.co.uk","https://sparkwire.co.uk","M1 2EH","ELECTRICAL,FIRE_SAFETY","M,SK,WA,OL,BL,WN",20,TRUE,200.00,"NICEIC,NAPIT,SAFE_CONTRACTOR","","NIC-78901",TRUE,10000000,30/06/2026,TRUE,30/06/2026,30,400.00,60.00,01/03/2024
"CoolAir HVAC Solutions","CoolAir","34567890","GB345678901",APPROVED,"+441214567001","+447700200003","service@coolair.co.uk","https://coolair-hvac.co.uk","B4 7ET","HVAC","B,WS,WV,CV,DY",25,TRUE,250.00,"F_GAS,ISO_9001,SAFE_CONTRACTOR","","",TRUE,5000000,31/12/2025,TRUE,31/12/2025,14,450.00,65.00,01/06/2024
"Prestige Roofing Contractors","Prestige Roofing","45678901","GB456789012",APPROVED,"+441234567001","+447700200004","quotes@prestigeroofing.co.uk","https://prestigeroofing.co.uk","EC2A 4NE","ROOFING,STRUCTURAL","EC,WC,SE,SW,E,N,NW,W",30,FALSE,0.00,"CSCS,CONSTRUCTIONLINE,ISO_45001","","",TRUE,10000000,30/09/2026,TRUE,30/09/2026,30,500.00,70.00,15/09/2024
"Urban Pest Management","Urban Pest","56789012","",APPROVED,"+442079876001","+447700200005","hello@urbanpest.co.uk","https://urbanpest.london","SW6 4TJ","PEST_CONTROL","SW,SE,EC,WC,E,W,N,NW,BR,CR,DA",20,TRUE,150.00,"CHAS","","",TRUE,2000000,28/02/2026,FALSE,,30,280.00,45.00,01/11/2024
"SecureDoor UK Ltd","SecureDoor","67890123","GB678901234",APPROVED,"+441234890001","+447700200006","service@securedoor.co.uk","https://securedoor.co.uk","LS2 7EE","DOORS_WINDOWS,ACCESS_CONTROL","LS,BD,HG,WF,HD,HX",15,TRUE,175.00,"CSCS,SAFE_CONTRACTOR","","",TRUE,5000000,31/07/2026,TRUE,31/07/2026,14,350.00,50.00,01/02/2025
"Otis Elevator Company","Otis","78901234","GB789012345",APPROVED,"+442076543001","+447700200007","service.uk@otis.com","https://otis.com","E14 5HQ","LIFTS","ALL UK",100,TRUE,500.00,"ISO_9001,ISO_14001,ISO_45001,SAFE_CONTRACTOR","","",TRUE,50000000,31/12/2026,TRUE,31/12/2026,30,850.00,120.00,01/01/2023
"Green Clean Services Ltd","Green Clean","89012345","GB890123456",PENDING_APPROVAL,"+441179876001","+447700200008","info@greenclean.co.uk","https://greenclean.co.uk","BS2 0UW","CLEANING","BS,BA,GL,SN",10,FALSE,0.00,"CHAS","","",TRUE,2000000,30/04/2026,TRUE,30/04/2026,7,220.00,32.00,
"Heritage Building Specialists","Heritage Build","90123456","GB901234567",APPROVED,"+441225678001","+447700200009","projects@heritagebuild.co.uk","https://heritagebuild.co.uk","BA1 1SU","STRUCTURAL,DECORATION,GENERAL_BUILDING","BA,BS,SN,GL",30,FALSE,0.00,"CONSTRUCTIONLINE,CSCS,ISO_9001","","",TRUE,10000000,31/08/2026,TRUE,31/08/2026,30,550.00,75.00,01/04/2024
"AllTrades Property Maintenance","AllTrades","01234567","GB012345678",SUSPENDED,"+442084321001","+447700200010","admin@alltrades.co.uk","https://alltrades.london","CR0 2RD","PLUMBING,ELECTRICAL,GENERAL_BUILDING,DECORATION,CARPENTRY","CR,BR,SE,SW",10,FALSE,0.00,"","","",TRUE,2000000,31/01/2025,FALSE,,30,300.00,42.00,01/06/2023
